qid,mistake,valueLabel,recodeLevel
QID124931243,2,To protect myself,1
QID124931243,2,To protect my family,2
QID124931243,2,To protect others in society as a whole,3
QID124931243,2,To protect the vulnerable,4
QID124931243,2,Don't know,-88
QID124931243,2,Other,6
QID124946999,2,Did you miss work or school because of your headaches,1
QID124946999,2,Was your productivity at work or school reduced by half or more because of your headaches  (Do not include days you counted in question 1 where you missed work or school),2
QID124946999,2,"Did you not do household work (such as housework, home repairs and maintenance, shopping, caring for children and relatives) because of your headaches",96
QID124946999,2,Was your productivity in household work reduced by half or more because of your headaches,3
QID124946999,2,"Did you miss family, social or leisure activities because of your headaches",4
